date,Open,High,Low,Original Close,Close,Volume,Dividend,Split
2017-04-03,143.71,144.12,143.05,143.7,33.718447308331,19985714.0,0.0,1.0
2017-04-04,143.25,144.89,143.17,144.77,33.9695171665072,19891354.0,0.0,1.0
2017-04-05,144.22,145.46,143.81,144.02,33.7935336210566,27717854.0,0.0,1.0
2017-04-06,144.29,144.52,143.45,143.66,33.7090615192403,21149034.0,0.0,1.0
2017-04-07,143.73,144.18,143.27,143.34,33.6339752065148,16658543.0,0.0,1.0
2017-04-10,143.6,143.8792,142.9,143.17,33.5940856028793,18933397.0,0.0,1.0
2017-04-11,142.94,143.35,140.06,141.63,33.2327327228874,30379376.0,0.0,1.0
2017-04-12,141.6,142.15,141.01,141.8,33.2726223265229,20350000.0,0.0,1.0
2017-04-13,141.91,142.38,141.05,141.05,33.0966387810723,17822880.0,0.0,1.0
2017-04-17,141.48,141.88,140.87,141.83,33.2796616683409,16582094.0,0.0,1.0
2017-04-18,141.41,142.04,141.11,141.2,33.1318354901624,14697544.0,0.0,1.0
2017-04-19,141.88,142.0,140.45,140.68,33.0098202319834,17328375.0,0.0,1.0
2017-04-20,141.22,142.92,141.16,142.44,33.4227949519741,23319562.0,0.0,1.0
2017-04-21,142.44,142.68,141.85,142.27,33.3829053483386,17320928.0,0.0,1.0
2017-04-24,143.5,143.95,143.18,143.64,33.704368624695,17116599.0,0.0,1.0
2017-04-25,143.91,144.9,143.87,144.53,33.913202431963,18216472.0,0.0,1.0
2017-04-26,144.47,144.6,143.3762,143.68,33.7137544137857,19614287.0,0.0,1.0
2017-04-27,143.9225,144.16,143.31,143.79,33.7395653337851,13948980.0,0.0,1.0
2017-04-28,144.09,144.3,143.27,143.65,33.7067150719677,20247187.0,0.0,1.0
2017-05-01,145.1,147.2,144.96,146.58,34.3942241228613,32818760.0,0.0,1.0
2017-05-02,147.54,148.09,146.84,147.51,34.61244371922,39752670.0,0.0,1.0
2017-05-03,145.59,147.49,144.27,147.06,34.5068535919496,45142806.0,0.0,1.0
2017-05-04,146.52,147.14,145.81,146.53,34.3824918864979,23275690.0,0.0,1.0
2017-05-05,146.76,148.98,146.76,148.96,34.9526785737578,26787359.0,0.0,1.0
2017-05-08,149.03,153.7,149.03,153.01,35.9029897191909,48339210.0,0.0,1.0
2017-05-09,153.87,154.88,153.45,153.99,36.132941551913,35942435.0,0.0,1.0
2017-05-10,153.63,153.94,152.11,153.26,35.9616509010078,25670456.0,0.0,1.0
2017-05-11,152.45,154.07,152.31,153.95,36.2713819410008,25596687.0,0.63,1.0
2017-05-12,154.7,156.42,154.67,156.1,36.7779325819436,32221756.0,0.0,1.0
2017-05-15,156.01,156.65,155.05,155.7,36.6836906022333,25700983.0,0.0,1.0
2017-05-16,155.94,156.06,154.72,155.47,36.6295014638999,19904679.0,0.0,1.0
2017-05-17,153.6,154.57,149.71,150.25,35.3996436286805,49482818.0,0.0,1.0
2017-05-18,151.27,153.34,151.13,152.54,35.939178962522,33159664.0,0.0,1.0
2017-05-19,153.38,153.98,152.63,153.06,36.0616935361454,26733798.0,0.0,1.0
2017-05-22,154.0,154.58,152.91,153.99,36.2808061389718,22340069.0,0.0,1.0
2017-05-23,154.9,154.9,153.31,153.8,36.2360411986094,19430358.0,0.0,1.0
2017-05-24,153.84,154.17,152.67,153.34,36.1276629219426,19118319.0,0.0,1.0
2017-05-25,153.73,154.35,153.03,153.87,36.2525335450587,19044463.0,0.0,1.0
2017-05-26,154.0,154.24,153.31,153.61,36.191276258247,21632202.0,0.0,1.0
2017-05-30,153.42,154.43,153.33,153.67,36.2054125552036,20034934.0,0.0,1.0
2017-05-31,153.97,154.17,152.38,152.76,35.9910120513626,23162873.0,0.0,1.0
2017-06-01,153.17,153.33,152.22,153.18,36.0899661300585,16180143.0,0.0,1.0
2017-06-02,153.58,155.45,152.89,155.45,36.6247893649144,27285861.0,0.0,1.0
2017-06-05,154.34,154.45,153.46,153.93,36.2666698420153,24803858.0,0.0,1.0
2017-06-06,153.9,155.81,153.78,154.45,36.3891844156387,26249630.0,0.0,1.0
2017-06-07,155.02,155.98,154.48,155.37,36.6059409689723,20678772.0,0.0,1.0
2017-06-08,155.25,155.54,154.4,154.99,36.5164110882476,20771367.0,0.0,1.0
2017-06-09,155.19,155.19,146.02,148.98,35.1004253431003,64882700.0,0.0,1.0
2017-06-12,145.74,146.09,142.51,145.42,34.2616717236787,71563614.0,0.0,1.0
2017-06-13,147.16,147.45,145.15,146.59,34.5373295143313,33749154.0,0.0,1.0
2017-06-14,147.5,147.5,143.84,145.16,34.200414436867,31224203.0,0.0,1.0
2017-06-15,143.32,144.4798,142.21,144.29,33.9954381309971,31348832.0,0.0,1.0
2017-06-16,143.78,144.5,142.2,142.27,33.5195161334601,49180748.0,0.0,1.0
2017-06-19,143.66,146.74,143.66,146.34,34.4784282770124,31449132.0,0.0,1.0
2017-06-20,146.87,146.87,144.94,145.01,34.1650736944756,24572170.0,0.0,1.0
2017-06-21,145.52,146.0693,144.61,145.87,34.3676939508528,21064679.0,0.0,1.0
2017-06-22,145.77,146.7,145.1199,145.63,34.3111487630266,18673365.0,0.0,1.0
2017-06-23,145.13,147.16,145.11,146.28,34.4642919800558,25997976.0,0.0,1.0
2017-06-26,147.17,148.28,145.38,145.82,34.355913703389,25524661.0,0.0,1.0
2017-06-27,145.01,146.16,143.62,143.73,33.8634993594027,24423643.0,0.0,1.0
2017-06-28,144.49,146.11,143.1601,145.83,34.3582697528817,21915939.0,0.0,1.0
2017-06-29,144.71,145.13,142.28,143.68,33.8517191119389,31116980.0,0.0,1.0
2017-06-30,144.45,144.96,143.78,144.02,33.9318247946927,22328979.0,0.0,1.0
2017-07-03,144.88,145.3,143.1,143.5,33.8093102210693,14258300.0,0.0,1.0
2017-07-05,143.69,144.79,142.7237,144.09,33.9483171411419,20758795.0,0.0,1.0
2017-07-06,143.02,143.5,142.41,142.73,33.6278944101269,23374374.0,0.0,1.0
2017-07-07,142.9,144.75,142.9,144.18,33.9695215865768,18505351.0,0.0,1.0
2017-07-10,144.11,145.95,143.37,145.06,34.1768539419394,21030466.0,0.0,1.0
2017-07-11,144.73,145.85,144.38,145.53,34.287588268099,18311156.0,0.0,1.0
2017-07-12,145.87,146.18,144.82,145.74,34.3370653074469,23617964.0,0.0,1.0
2017-07-13,145.5,148.49,145.44,147.77,34.8153433544767,24922788.0,0.0,1.0
2017-07-14,147.97,149.33,147.33,149.04,35.1145616400569,19961788.0,0.0,1.0
2017-07-17,148.82,150.9,148.57,149.56,35.2370762136803,23243713.0,0.0,1.0
2017-07-18,149.2,150.13,148.67,150.08,35.3595907873037,17713795.0,0.0,1.0
2017-07-19,150.48,151.42,149.95,151.02,35.5810594396229,20615419.0,0.0,1.0
2017-07-20,151.5,151.74,150.19,150.34,35.4208480741153,17053326.0,0.0,1.0
2017-07-21,149.99,150.44,148.88,150.27,35.4043557276661,24671002.0,0.0,1.0
2017-07-24,150.58,152.44,149.9,152.09,35.8331567353479,21122730.0,0.0,1.0
2017-07-25,151.8,153.84,151.8,152.74,35.9862999523771,18612649.0,0.0,1.0
2017-07-26,153.35,153.93,153.06,153.46,36.1559355158557,15172136.0,0.0,1.0
