date,Open,High,Low,Original Close,Close,Volume,Dividend,Split
2017-04-03,829.22,840.85,829.22,838.55,41.9275,1671503.0,0.0,1.0
2017-04-04,831.36,835.18,829.0363,834.57,41.7285,1045363.0,0.0,1.0
2017-04-05,835.51,842.45,830.72,831.41,41.5705,1555328.0,0.0,1.0
2017-04-06,832.4,836.39,826.46,827.88,41.394,1254433.0,0.0,1.0
2017-04-07,827.96,828.485,820.5127,824.67,41.2335,1056692.0,0.0,1.0
2017-04-10,825.39,829.35,823.77,824.73,41.2365,978905.0,0.0,1.0
2017-04-11,824.71,827.4267,817.0201,823.35,41.1675,1079732.0,0.0,1.0
2017-04-12,821.93,826.66,821.02,824.32,41.216,900480.0,0.0,1.0
2017-04-13,822.14,826.38,821.44,823.56,41.178,1122362.0,0.0,1.0
2017-04-17,825.01,837.75,824.47,837.17,41.8585,895015.0,0.0,1.0
2017-04-18,834.22,838.93,832.71,836.82,41.841,836722.0,0.0,1.0
2017-04-19,839.79,842.22,836.29,838.21,41.9105,954330.0,0.0,1.0
2017-04-20,841.44,845.2,839.32,841.65,42.0825,959031.0,0.0,1.0
2017-04-21,842.88,843.88,840.6,843.19,42.1595,1323583.0,0.0,1.0
2017-04-24,851.2,863.45,849.86,862.76,43.138,1371581.0,0.0,1.0
2017-04-25,865.0,875.0,862.81,872.3,43.615,1654161.0,0.0,1.0
2017-04-26,874.23,876.05,867.7481,871.73,43.5865,1188464.0,0.0,1.0
2017-04-27,873.6,875.4,870.38,874.25,43.7125,1734197.0,0.0,1.0
2017-04-28,910.66,916.85,905.77,905.96,45.298,3160585.0,0.0,1.0
2017-05-01,901.94,915.68,901.45,912.57,45.6285,2100457.0,0.0,1.0
2017-05-02,909.62,920.77,909.4526,916.44,45.822,1520766.0,0.0,1.0
2017-05-03,914.86,928.1,912.5426,927.04,46.352,1477329.0,0.0,1.0
2017-05-04,926.07,935.93,924.59,931.66,46.583,1405844.0,0.0,1.0
2017-05-05,933.54,934.9,925.2,927.13,46.3565,1904731.0,0.0,1.0
2017-05-08,926.12,936.925,925.26,934.3,46.715,1319052.0,0.0,1.0
2017-05-09,936.95,937.5,929.53,932.17,46.6085,1575628.0,0.0,1.0
2017-05-10,931.98,932.0,925.16,928.78,46.439,1170055.0,0.0,1.0
2017-05-11,925.32,932.53,923.0301,930.6,46.53,830838.0,0.0,1.0
2017-05-12,931.53,933.44,927.85,932.22,46.611,1038409.0,0.0,1.0
2017-05-15,932.95,938.25,929.34,937.08,46.854,1094283.0,0.0,1.0
2017-05-16,940.0,943.11,937.58,943.0,47.15,956692.0,0.0,1.0
2017-05-17,935.67,939.3325,918.14,919.62,45.981,2323389.0,0.0,1.0
2017-05-18,921.0,933.17,918.75,930.24,46.512,1586465.0,0.0,1.0
2017-05-19,931.47,937.755,931.0,934.01,46.7005,1382221.0,0.0,1.0
2017-05-22,935.0,941.8828,935.0,941.86,47.093,1092176.0,0.0,1.0
2017-05-23,947.92,951.4666,942.575,948.82,47.441,1259285.0,0.0,1.0
2017-05-24,952.98,955.09,949.5,954.96,47.748,990248.0,0.0,1.0
2017-05-25,957.33,972.629,955.47,969.54,48.477,1645873.0,0.0,1.0
2017-05-26,969.7,974.98,965.03,971.47,48.5735,1246186.0,0.0,1.0
2017-05-30,970.31,976.2,969.49,975.88,48.794,1455686.0,0.0,1.0
2017-05-31,975.02,979.27,960.18,964.86,48.243,2426589.0,0.0,1.0
2017-06-01,968.95,971.5,960.01,966.95,48.3475,1403200.0,0.0,1.0
2017-06-02,969.46,975.88,966.0,975.6,48.78,1717212.0,0.0,1.0
2017-06-05,976.55,986.91,975.1,983.68,49.184,1221971.0,0.0,1.0
2017-06-06,983.16,988.25,975.14,976.57,48.8285,1796904.0,0.0,1.0
2017-06-07,979.65,984.15,975.77,981.08,49.054,1429834.0,0.0,1.0
2017-06-08,982.35,984.57,977.2,983.41,49.1705,1451232.0,0.0,1.0
2017-06-09,984.5,984.5,935.63,949.83,47.4915,3270248.0,0.0,1.0
2017-06-12,939.56,949.355,915.2328,942.9,47.145,3731589.0,0.0,1.0
2017-06-13,951.91,959.98,944.09,953.4,47.67,1995350.0,0.0,1.0
2017-06-14,959.92,961.15,942.25,950.76,47.538,1477033.0,0.0,1.0
2017-06-15,933.97,943.339,924.44,942.31,47.1155,2055953.0,0.0,1.0
2017-06-16,940.0,942.04,931.595,939.78,46.989,2921393.0,0.0,1.0
2017-06-19,949.96,959.99,949.05,957.37,47.8685,1494191.0,0.0,1.0
2017-06-20,957.52,961.62,950.01,950.63,47.5315,1111840.0,0.0,1.0
2017-06-21,953.64,960.1,950.76,959.45,47.9725,1192342.0,0.0,1.0
2017-06-22,958.7,960.72,954.55,957.09,47.8545,940373.0,0.0,1.0
2017-06-23,956.83,966.0,954.2,965.59,48.2795,1394008.0,0.0,1.0
2017-06-26,969.9,973.31,950.79,952.27,47.6135,1581031.0,0.0,1.0
2017-06-27,942.46,948.29,926.85,927.33,46.3665,2553771.0,0.0,1.0
2017-06-28,929.0,942.75,916.0,940.49,47.0245,2712222.0,0.0,1.0
2017-06-29,929.92,931.26,910.62,917.79,45.8895,3248393.0,0.0,1.0
2017-06-30,926.05,926.05,908.31,908.73,45.4365,2035931.0,0.0,1.0
2017-07-03,912.18,913.94,894.79,898.7,44.935,1710189.0,0.0,1.0
2017-07-05,901.76,914.51,898.5,911.71,45.5855,1743497.0,0.0,1.0
2017-07-06,904.12,914.9444,899.7,906.69,45.3345,1409533.0,0.0,1.0
2017-07-07,908.85,921.54,908.85,918.59,45.9295,1588034.0,0.0,1.0
2017-07-10,921.77,930.38,919.59,928.8,46.44,1189085.0,0.0,1.0
2017-07-11,929.54,931.43,922.0,930.09,46.5045,1093281.0,0.0,1.0
2017-07-12,938.68,946.3,934.47,943.83,47.1915,1505982.0,0.0,1.0
2017-07-13,946.29,954.45,943.01,947.16,47.358,1291782.0,0.0,1.0
2017-07-14,952.0,956.91,948.005,955.99,47.7995,1017632.0,0.0,1.0
2017-07-17,957.0,960.74,949.2407,953.42,47.671,1141026.0,0.0,1.0
2017-07-18,953.0,968.04,950.6,965.4,48.27,1131130.0,0.0,1.0
2017-07-19,967.84,973.04,964.03,970.89,48.5445,1212814.0,0.0,1.0
2017-07-20,975.0,975.9,961.51,968.15,48.4075,1577103.0,0.0,1.0
2017-07-21,962.25,973.23,960.15,972.92,48.646,1665103.0,0.0,1.0
2017-07-24,972.22,986.2,970.77,980.34,49.017,2634669.0,0.0,1.0
2017-07-25,953.81,959.7,945.4,950.7,47.535,4626086.0,0.0,1.0
2017-07-26,954.68,955.0,942.2788,947.8,47.39,2056013.0,0.0,1.0
2017-07-27,951.78,951.78,920.0,934.09,46.7045,3095263.0,0.0,1.0
2017-07-28,929.4,943.83,927.5,941.53,47.0765,1775076.0,0.0,1.0
2017-07-31,941.89,943.59,926.04,930.5,46.525,1952716.0,0.0,1.0
2017-08-01,932.38,937.447,929.26,930.83,46.5415,1211553.0,0.0,1.0
2017-08-02,928.61,932.6,916.68,930.39,46.5195,1816343.0,0.0,1.0
2017-08-03,930.34,932.24,922.24,923.65,46.1825,1179126.0,0.0,1.0
2017-08-04,926.75,930.3068,923.03,927.96,46.398,1019159.0,0.0,1.0
2017-08-07,929.06,931.7,926.5,929.36,46.468,1012296.0,0.0,1.0
2017-08-08,927.09,935.814,925.6095,926.79,46.3395,1039394.0,0.0,1.0
2017-08-09,920.61,925.98,917.2501,922.9,46.145,1169431.0,0.0,1.0
2017-08-10,917.55,919.26,906.13,907.24,45.362,1722296.0,0.0,1.0
2017-08-11,907.97,917.78,905.58,914.39,45.7195,1190458.0,0.0,1.0
2017-08-14,922.53,924.668,918.19,922.67,46.1335,1047828.0,0.0,1.0
2017-08-15,924.23,926.5499,919.82,922.22,46.111,873070.0,0.0,1.0
2017-08-16,925.29,932.7,923.445,926.96,46.348,988604.0,0.0,1.0
2017-08-17,925.78,926.86,910.98,910.98,45.549,1218963.0,0.0,1.0
2017-08-18,910.31,915.275,907.1543,910.67,45.5335,1333572.0,0.0,1.0
2017-08-21,910.0,913.0,903.4,906.66,45.333,932903.0,0.0,1.0
2017-08-22,912.72,925.86,911.4751,924.69,46.2345,1145571.0,0.0,1.0
2017-08-23,921.93,929.93,919.36,927.0,46.35,1077809.0,0.0,1.0
2017-08-24,928.66,930.84,915.5,921.28,46.064,1218875.0,0.0,1.0
2017-08-25,923.49,925.555,915.5,915.89,45.7945,1040693.0,0.0,1.0
2017-08-28,916.0,919.245,911.87,913.81,45.6905,1072467.0,0.0,1.0
2017-08-29,905.1,923.33,905.0,921.29,46.0645,1180160.0,0.0,1.0
2017-08-30,920.05,930.819,919.65,929.57,46.4785,1282093.0,0.0,1.0
2017-08-31,931.76,941.98,931.76,939.33,46.9665,1553301.0,0.0,1.0
2017-09-01,941.13,942.48,935.15,937.34,46.867,913404.0,0.0,1.0
