,Close
2017-04-01,
2017-04-02,
2017-04-03,41.9275
2017-04-04,41.7285
2017-04-05,41.5705
2017-04-06,41.394
2017-04-07,41.2335
2017-04-08,
2017-04-09,
2017-04-10,41.2365
2017-04-11,41.1675
2017-04-12,41.216
2017-04-13,41.178
2017-04-14,
2017-04-15,
2017-04-16,
2017-04-17,41.8585
2017-04-18,41.841
2017-04-19,41.9105
2017-04-20,42.0825
2017-04-21,42.1595
2017-04-22,
2017-04-23,
2017-04-24,43.138
2017-04-25,43.615
2017-04-26,43.5865
2017-04-27,43.7125
2017-04-28,45.298
2017-04-29,
2017-04-30,
2017-05-01,45.6285
2017-05-02,45.822
2017-05-03,46.352
2017-05-04,46.583
2017-05-05,46.3565
2017-05-06,
2017-05-07,
2017-05-08,46.715
2017-05-09,46.6085
2017-05-10,46.439
2017-05-11,46.53
2017-05-12,46.611
2017-05-13,
2017-05-14,
2017-05-15,46.854
2017-05-16,47.15
2017-05-17,45.981
2017-05-18,46.512
2017-05-19,46.7005
2017-05-20,
2017-05-21,
2017-05-22,47.093
2017-05-23,47.441
2017-05-24,47.748
2017-05-25,48.477
2017-05-26,48.5735
2017-05-27,
2017-05-28,
2017-05-29,
2017-05-30,48.794
2017-05-31,48.243
2017-06-01,48.3475
2017-06-02,48.78
2017-06-03,
2017-06-04,
2017-06-05,49.184
2017-06-06,48.8285
2017-06-07,49.054
2017-06-08,49.1705
2017-06-09,47.4915
2017-06-10,
2017-06-11,
2017-06-12,47.145
2017-06-13,47.67
2017-06-14,47.538
2017-06-15,47.1155
2017-06-16,46.989
2017-06-17,
2017-06-18,
2017-06-19,47.8685
2017-06-20,47.5315
2017-06-21,47.9725
2017-06-22,47.8545
2017-06-23,48.2795
2017-06-24,
2017-06-25,
2017-06-26,47.6135
2017-06-27,46.3665
2017-06-28,47.0245
2017-06-29,45.8895
2017-06-30,45.4365
2017-07-01,
2017-07-02,
2017-07-03,44.935
2017-07-04,
2017-07-05,45.5855
2017-07-06,45.3345
2017-07-07,45.9295
2017-07-08,
2017-07-09,
