time,tavg,tmin,tmax,prcp,wspd
2017-04-01,17.4,9.7,25.3,0.0,7.5
2017-04-02,16.8,10.3,24.7,0.0,10.2
2017-04-03,15.4,9.7,21.9,0.0,11.8
2017-04-04,15.2,7.5,23.0,0.0,8.7
2017-04-05,17.4,11.9,24.1,0.0,8.4
2017-04-06,15.4,11.4,19.1,9.7,19.4
2017-04-07,14.5,10.8,18.0,11.7,18.8
2017-04-08,10.6,8.0,14.1,3.8,12.7
2017-04-09,11.0,4.7,17.5,0.0,9.4
2017-04-10,13.1,6.4,19.7,0.0,10.4
2017-04-11,15.4,12.5,19.7,0.0,18.1
2017-04-12,16.0,14.1,19.1,1.0,19.2
2017-04-13,13.2,10.3,16.4,1.0,16.6
2017-04-14,11.9,6.9,16.9,0.0,16.0
2017-04-15,13.7,6.4,20.8,0.0,6.2
2017-04-16,13.5,11.4,15.8,0.5,13.9
2017-04-17,15.2,13.6,18.6,3.0,7.9
2017-04-18,15.0,12.5,19.7,0.3,8.9
2017-04-19,14.9,7.5,21.4,0.0,9.9
2017-04-20,15.5,11.9,20.3,2.8,13.7
2017-04-21,17.0,9.7,24.1,0.0,9.4
2017-04-22,15.4,9.7,19.7,0.0,11.3
2017-04-23,14.6,11.4,19.1,0.0,17.6
2017-04-24,13.8,11.4,16.4,0.0,11.9
2017-04-25,14.7,10.8,19.1,0.0,17.5
2017-04-26,16.2,14.1,19.7,0.0,12.1
2017-04-27,15.5,11.9,20.3,0.0,16.8
2017-04-28,15.6,9.7,23.0,0.0,13.5
2017-04-29,18.5,11.4,25.3,0.0,13.2
2017-04-30,17.9,11.4,25.3,0.0,10.0
2017-05-01,20.8,13.6,30.3,0.0,11.4
2017-05-02,22.9,16.4,30.8,0.0,11.3
2017-05-03,23.8,16.9,31.9,0.0,7.1
2017-05-04,19.3,14.1,25.3,0.0,12.6
2017-05-05,15.7,11.9,20.8,0.0,15.9
2017-05-06,13.5,10.3,17.5,0.0,15.4
2017-05-07,16.7,10.3,23.6,0.0,10.1
2017-05-08,17.1,10.8,24.7,0.0,12.9
2017-05-09,18.5,10.8,28.0,0.0,11.2
2017-05-10,16.4,12.5,21.9,0.0,19.1
2017-05-11,16.1,12.5,21.4,0.0,13.5
2017-05-12,14.1,11.4,18.6,0.0,22.8
2017-05-13,13.5,10.3,18.6,0.0,18.7
2017-05-14,13.9,10.3,19.1,0.0,11.4
2017-05-15,13.8,9.1,20.8,0.0,15.2
2017-05-16,13.8,10.3,18.0,0.0,11.5
2017-05-17,15.5,11.4,21.4,0.0,17.1
2017-05-18,17.5,8.6,26.4,0.0,10.0
2017-05-19,21.2,13.0,30.3,0.0,9.0
2017-05-20,22.2,14.1,30.8,0.0,9.5
2017-05-21,22.2,15.8,30.8,0.0,9.0
2017-05-22,19.6,13.6,28.0,0.0,10.3
2017-05-23,18.7,14.7,25.3,0.0,11.9
2017-05-24,17.2,14.1,23.0,0.0,10.8
2017-05-25,15.9,13.0,19.7,0.0,24.0
2017-05-26,15.9,13.6,20.3,0.0,15.1
2017-05-27,16.1,12.5,20.8,0.0,12.4
2017-05-28,15.5,13.6,20.3,0.0,15.0
2017-05-29,14.9,12.5,19.1,0.0,14.3
2017-05-30,15.2,11.9,20.3,0.0,14.0
2017-05-31,17.7,13.6,23.7,0.0,12.3
2017-06-01,18.3,15.3,23.6,0.0,14.0
2017-06-02,18.5,11.9,26.4,0.0,11.1
2017-06-03,17.4,12.5,23.6,0.0,11.7
2017-06-04,17.6,12.5,23.6,0.0,11.3
2017-06-05,18.0,10.8,26.4,0.0,10.2
2017-06-06,16.7,12.5,21.9,0.0,11.9
2017-06-07,17.0,12.5,23.0,0.0,10.0
2017-06-08,17.9,15.3,21.4,0.3,13.1
2017-06-09,17.0,13.6,20.3,0.3,16.9
2017-06-10,16.1,10.8,20.8,0.0,19.1
2017-06-11,14.9,11.4,19.1,0.0,20.5
2017-06-12,15.5,11.9,20.8,0.0,12.9
2017-06-13,17.3,10.8,24.7,0.0,12.2
2017-06-14,19.0,12.5,28.0,0.0,13.0
2017-06-15,19.3,12.5,26.4,0.0,14.8
2017-06-16,22.6,16.9,30.3,0.0,12.5
2017-06-17,23.4,16.4,30.8,0.0,11.6
2017-06-18,28.9,21.4,38.6,0.0,7.7
2017-06-19,26.2,20.3,33.6,0.0,12.0
2017-06-20,22.5,16.9,30.3,0.0,12.7
2017-06-21,22.4,14.7,32.5,0.0,9.9
2017-06-22,25.9,19.7,34.7,0.0,9.3
2017-06-23,21.4,16.9,27.5,0.0,12.4
2017-06-24,19.3,16.4,24.7,0.0,10.9
2017-06-25,18.4,15.8,22.5,0.0,13.3
2017-06-26,19.1,15.8,24.1,0.0,15.1
2017-06-27,18.2,15.8,22.5,0.0,15.4
2017-06-28,18.4,15.3,23.6,0.0,11.2
2017-06-29,17.6,14.1,23.6,0.0,11.6
2017-06-30,17.6,14.1,22.5,0.0,11.1
2017-07-01,17.3,12.5,23.0,0.0,10.6
2017-07-02,18.4,13.0,26.4,0.0,14.5
2017-07-03,19.4,13.0,27.5,0.0,12.4
2017-07-04,18.8,14.1,25.3,0.0,11.2
2017-07-05,18.7,14.7,23.6,0.0,11.9
2017-07-06,21.1,14.7,29.7,0.0,11.9
2017-07-07,24.2,16.4,33.6,0.0,11.9
2017-07-08,25.3,19.1,35.8,0.0,9.7
2017-07-09,20.8,14.7,28.6,0.0,11.4
2017-07-10,20.5,14.7,28.0,0.0,10.2
2017-07-11,20.6,14.7,28.0,0.0,11.3
2017-07-12,19.9,14.1,25.8,0.0,11.7
2017-07-13,20.1,13.6,26.9,0.0,12.6
2017-07-14,20.7,14.7,28.6,0.0,11.0
2017-07-15,23.1,14.7,33.6,0.0,8.7
2017-07-16,25.9,19.1,35.3,0.0,10.1
2017-07-17,22.6,17.5,28.6,0.0,11.7
2017-07-18,18.2,14.1,23.0,0.0,14.3
2017-07-19,19.0,13.6,25.8,0.0,11.0
2017-07-20,19.5,14.7,24.7,0.0,10.5
2017-07-21,19.2,14.1,26.4,0.0,10.2
2017-07-22,22.7,14.1,33.0,0.0,7.8
2017-07-23,22.7,17.5,29.7,0.0,8.7
2017-07-24,21.0,14.1,29.7,0.0,13.0
2017-07-25,20.0,15.3,26.4,0.0,15.2
2017-07-26,20.4,16.9,26.9,0.0,11.2
2017-07-27,21.8,15.8,31.4,0.0,9.2
2017-07-28,20.2,15.8,25.8,0.0,10.8
2017-07-29,19.5,14.7,26.4,0.0,9.5
2017-07-30,19.7,13.6,26.4,0.0,11.4
2017-07-31,20.5,15.3,27.5,0.0,9.9
2017-08-01,22.1,15.3,31.4,0.0,9.2
2017-08-02,24.2,18.0,33.0,0.0,10.1
2017-08-03,24.6,20.8,30.3,0.0,7.4
